PanelType;Cell type;Cell data;Bet ranges;Bet type;Name;Description;Connected cell 1 name;Connected cell 2 name
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Vs_Multi_Call;SB call (limp pot multiway);Sb_Limp_Vs_Multi_Fold;Sb_Limp_Vs_Multi_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Vs_Multi_Raise;SB raise (limp pot multiway);Sb_Limp_Vs_Multi_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Fold;SB fold (raise pot);Sb_Raise_Call;Sb_Raise_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Call;SB call (raise pot);Sb_Raise_Fold;Sb_Raise_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Raise;SB raise (raise pot);Sb_Raise_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Vs_Ep_Fold;SB fold (raise pot vs EP);Sb_Raise_Vs_Ep_Call;Sb_Raise_Vs_Ep_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Vs_Ep_Call;SB call (raise pot vs EP);Sb_Raise_Vs_Ep_Fold;Sb_Raise_Vs_Ep_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Vs_Ep_Raise;SB raise (raise pot vs EP);Sb_Raise_Vs_Ep_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Vs_Mp_Fold;SB fold (raise pot vs MP);Sb_Raise_Vs_Mp_Call;Sb_Raise_Vs_Mp_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Vs_Mp_Call;SB call (raise pot vs MP);Sb_Raise_Vs_Mp_Fold;Sb_Raise_Vs_Mp_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Vs_Mp_Raise;SB raise (raise pot vs MP);Sb_Raise_Vs_Mp_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Vs_Co_Fold;SB fold (raise pot vs CO);Sb_Raise_Vs_Co_Call;Sb_Raise_Vs_Co_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Vs_Co_Call;SB call (raise pot vs CO);Sb_Raise_Vs_Co_Fold;Sb_Raise_Vs_Co_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Vs_Co_Raise;SB raise (raise pot vs CO);Sb_Raise_Vs_Co_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Vs_Btn_Fold;SB fold (raise pot vs BTN);Sb_Raise_Vs_Btn_Call;Sb_Raise_Vs_Btn_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Vs_Btn_Call;SB call (raise pot vs BTN);Sb_Raise_Vs_Btn_Fold;Sb_Raise_Vs_Btn_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Vs_Btn_Raise;SB raise (raise pot vs BTN);Sb_Raise_Vs_Btn_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Vs_Multi_Fold;SB fold (raise pot multiway);Sb_Raise_Vs_Multi_Call;Sb_Raise_Vs_Multi_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Vs_Multi_Call;SB call (raise pot multiway);Sb_Raise_Vs_Multi_Fold;Sb_Raise_Vs_Multi_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Raise_Vs_Multi_Raise;SB raise (raise pot multiway);Sb_Raise_Vs_Multi_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Isolate_CC_Fold;SB fold (isolate pot as cold caller);Sb_Isolate_CC_Call;Sb_Isolate_CC_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Isolate_CC_Call;SB call (isolate pot as cold caller);Sb_Isolate_CC_Fold;Sb_Isolate_CC_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Isolate_CC_Raise;SB raise (isolate pot as cold caller);Sb_Isolate_CC_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Isolate_Limper_Fold;SB fold (isolate pot as limper);Sb_Isolate_Limper_Call;Sb_Isolate_Limper_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Isolate_Limper_Call;SB call (isolate pot as limper);Sb_Isolate_Limper_Fold;Sb_Isolate_Limper_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Isolate_Limper_Raise;SB raise (isolate pot as limper);Sb_Isolate_Limper_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Isolate_Limper_Vs_Bb_Fold;SB fold (isolate pot as limper vs BB);Sb_Isolate_Limper_Vs_Bb_Call;Sb_Isolate_Limper_Vs_Bb_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Isolate_Limper_Vs_Bb_Call;SB call (isolate pot as limper vs BB);Sb_Isolate_Limper_Vs_Bb_Fold;Sb_Isolate_Limper_Vs_Bb_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Isolate_Limper_Vs_Bb_Raise;SB raise (isolate pot as limper vs BB);Sb_Isolate_Limper_Vs_Bb_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Squeeze_CC_Fold;SB fold (squeeze pot as cold caller);Sb_Squeeze_CC_Call;Sb_Squeeze_CC_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Squeeze_CC_Call;SB call (squeeze pot as cold caller);Sb_Squeeze_CC_Fold;Sb_Squeeze_CC_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Squeeze_CC_Raise;SB raise (squeeze pot as cold caller);Sb_Squeeze_CC_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Squeeze_Caller_Fold;SB fold (squeeze pot as caller);Sb_Squeeze_Caller_Call;Sb_Squeeze_Caller_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Squeeze_Caller_Call;SB call (squeeze pot as caller);Sb_Squeeze_Caller_Fold;Sb_Squeeze_Caller_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Squeeze_Caller_Raise;SB raise (squeeze pot as caller);Sb_Squeeze_Caller_Call;
PreflopSb;StatCell;PreflopData;;;Sb_RaiseIsolate_CC_Fold;SB fold (raise isolate pot as cold caller);Sb_RaiseIsolate_CC_Call;Sb_RaiseIsolate_CC_Raise
PreflopSb;StatCell;PreflopData;;;Sb_RaiseIsolate_CC_Call;SB call (raise isolate pot as cold caller);Sb_RaiseIsolate_CC_Fold;Sb_RaiseIsolate_CC_Raise
