Game type;Round;Position;Relative position;Opponent position;Players on flop;Preflop pot type;Preflop actions;Other players acted;Set type
SixMax;Postflop;Ep;Ip;Bb;Hu;RaisePot;Raise;No;PostflopHuIpRaiser
SixMax;Postflop;Ep;Any;Any;Multiway;RaisePot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Hu;IsolatePot;CallCall;Any;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Multiway;IsolatePot;CallCall;Yes;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Hu;RaiseIsolatePot;CallRaise;Any;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Multiway;RaiseIsolatePot;CallRaise;Yes;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Hu;SqueezePot;RaiseCall;Any;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Multiway;SqueezePot;RaiseCall;Yes;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Hu;FourBetPot;RaiseRaise;Any;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Multiway;FourBetPot;RaiseRaise;Yes;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Hu;RaiseIsolatePot;CallCall;Any;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Multiway;RaiseIsolatePot;CallCall;Yes;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Hu;FourBetPot;CallRaise;Any;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Multiway;FourBetPot;CallRaise;Yes;PostflopGeneral
SixMax;Postflop;Ep;Oop;Mp;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller
SixMax;Postflop;Ep;Oop;Co;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller
SixMax;Postflop;Ep;Oop;Btn;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller
SixMax;Postflop;Ep;Ip;Sb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuIpCaller
SixMax;Postflop;Ep;Ip;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuIpCaller
SixMax;Postflop;Ep;Any;Any;Multiway;ThreeBetPot;RaiseCall;Yes;PostflopGeneral
SixMax;Postflop;Ep;Any;Any;Hu;FourBetPot;AnyCall;Any;PostflopGeneral
