Game type;Round;Position;Relative position;Opponent position;Players on flop;Preflop pot type;Preflop actions;Set type
SixMax;Postflop;Bb;Oop;Co;Hu;LimpPot;Check;PostflopHuOop
SixMax;Postflop;Bb;Oop;Btn;Hu;LimpPot;Check;PostflopHuOop
SixMax;Postflop;Bb;Ip;Sb;Hu;LimpPot;Check;PostflopHuIp
SixMax;Postflop;Bb;Any;Any;Multiway;LimpPot;Check;PostflopGeneral
SixMax;Postflop;Bb;Ip;Sb;Hu;IsolatePot;Raise;PostflopHuIp
SixMax;Postflop;Bb;Any;Any;Hu;IsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;IsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Bb;Oop;Ep;Hu;RaisePot;Call;PostflopHuOop
SixMax;Postflop;Bb;Oop;Mp;Hu;RaisePot;Call;PostflopHuOop
SixMax;Postflop;Bb;Oop;Co;Hu;RaisePot;Call;PostflopHuOop
SixMax;Postflop;Bb;Oop;Btn;Hu;RaisePot;Call;PostflopHuOop
SixMax;Postflop;Bb;Ip;Sb;Hu;RaisePot;Call;PostflopHuIp
SixMax;Postflop;Bb;Any;Any;Multiway;RaisePot;Call;PostflopGeneral
SixMax;Postflop;Bb;Oop;Ep;Hu;ThreeBetPot;Raise;PostflopHuOop
SixMax;Postflop;Bb;Oop;Mp;Hu;ThreeBetPot;Raise;PostflopHuOop
SixMax;Postflop;Bb;Oop;Co;Hu;ThreeBetPot;Raise;PostflopHuOop
SixMax;Postflop;Bb;Oop;Btn;Hu;ThreeBetPot;Raise;PostflopHuOop
SixMax;Postflop;Bb;Ip;Sb;Hu;ThreeBetPot;Raise;PostflopHuIp
SixMax;Postflop;Bb;Any;Any;Multiway;ThreeBetPot;Raise;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Hu;IsolatePot;Call;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;IsolatePot;Call;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Hu;RaiseIsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;RaiseIsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Hu;SqueezePot;Call;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;SqueezePot;Call;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Hu;FourBetPot;Raise;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;FourBetPot;Raise;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Hu;RaiseIsolatePot;Call;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;RaiseIsolatePot;Call;PostflopGeneral
SixMax;Postflop;Bb;Ip;Sb;Hu;RaiseIsolatePot;RaiseCall;PostflopHuIp
SixMax;Postflop;Bb;Any;Any;Hu;RaiseIsolatePot;RaiseCall;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;RaiseIsolatePot;RaiseCall;PostflopGeneral
SixMax;Postflop;Bb;Ip;Sb;Hu;FourBetPot;RaiseRaise;PostflopHuIp
SixMax;Postflop;Bb;Any;Any;Hu;FourBetPot;RaiseRaise;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;FourBetPot;RaiseRaise;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Hu;ThreeBetPot;Call;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;ThreeBetPot;Call;PostflopGeneral
